 

stn;time;sremaxdv
SAE;20230101;85
SAE;20230102;11
SAE;20230103;0
SAE;20230104;3
SAE;20230105;0
SAE;20230106;98
SAE;20230107;88
SAE;20230108;0
SAE;20230109;0
SAE;20230110;0
SAE;20230111;0
SAE;20230112;3
SAE;20230113;0
SAE;20230114;26
SAE;20230115;0
SAE;20230116;18
SAE;20230117;0
SAE;20230118;0
SAE;20230119;8
SAE;20230120;0
SAE;20230121;1
SAE;20230122;92
SAE;20230123;46
SAE;20230124;57
SAE;20230125;92
SAE;20230126;99
SAE;20230127;29
SAE;20230128;84
SAE;20230129;84
SAE;20230130;47
SAE;20230131;63
SAE;20230201;0
SAE;20230202;0
SAE;20230203;42
SAE;20230204;1
SAE;20230205;17
SAE;20230206;90
SAE;20230207;100
SAE;20230208;98
SAE;20230209;95
SAE;20230210;98
SAE;20230211;46
SAE;20230212;96
SAE;20230213;100
SAE;20230214;99
SAE;20230215;97
SAE;20230216;86
SAE;20230217;0
SAE;20230218;88
SAE;20230219;0
SAE;20230220;93
SAE;20230221;96
SAE;20230222;63
SAE;20230223;28
SAE;20230224;24
SAE;20230225;0
SAE;20230226;0
SAE;20230227;40
SAE;20230228;84
SAE;20230301;83
SAE;20230302;81
SAE;20230303;97
SAE;20230304;99
SAE;20230305;94
SAE;20230306;34
SAE;20230307;72
SAE;20230308;0
SAE;20230309;2
SAE;20230310;7
SAE;20230311;0
SAE;20230312;0
SAE;20230313;60
SAE;20230314;3
SAE;20230315;57
SAE;20230316;84
SAE;20230317;72
SAE;20230318;67
SAE;20230319;29
SAE;20230320;69
SAE;20230321;43
SAE;20230322;97
SAE;20230323;5
SAE;20230324;0
SAE;20230325;0
SAE;20230326;1
SAE;20230327;0
SAE;20230328;79
SAE;20230329;0
SAE;20230330;0
SAE;20230331;1
SAE;20230401;0
SAE;20230402;15
SAE;20230403;66
SAE;20230404;90
SAE;20230405;68
SAE;20230406;91
SAE;20230407;1
SAE;20230408;0
SAE;20230409;95
SAE;20230410;72
SAE;20230411;0
SAE;20230412;2
SAE;20230413;0
SAE;20230414;22
SAE;20230415;1
SAE;20230416;0
SAE;20230417;27
SAE;20230418;93
SAE;20230419;43
SAE;20230420;0
SAE;20230421;49
SAE;20230422;53
SAE;20230423;21
