 

stn;time;su2000d0
SAE;20230101;7.1
SAE;20230102;1.0
SAE;20230103;0.0
SAE;20230104;0.3
SAE;20230105;0.0
SAE;20230106;8.3
SAE;20230107;7.5
SAE;20230108;0.0
SAE;20230109;0.0
SAE;20230110;0.0
SAE;20230111;0.0
SAE;20230112;0.3
SAE;20230113;0.0
SAE;20230114;2.3
SAE;20230115;0.0
SAE;20230116;1.6
SAE;20230117;0.0
SAE;20230118;0.0
SAE;20230119;0.7
SAE;20230120;0.0
SAE;20230121;0.1
SAE;20230122;8.3
SAE;20230123;4.2
SAE;20230124;5.2
SAE;20230125;8.6
SAE;20230126;9.2
SAE;20230127;2.7
SAE;20230128;7.9
SAE;20230129;8.0
SAE;20230130;4.5
SAE;20230131;6.0
SAE;20230201;0.0
SAE;20230202;0.0
SAE;20230203;4.1
SAE;20230204;0.1
SAE;20230205;1.6
SAE;20230206;8.9
SAE;20230207;9.8
SAE;20230208;9.7
SAE;20230209;9.5
SAE;20230210;9.8
SAE;20230211;4.6
SAE;20230212;9.7
SAE;20230213;10.1
SAE;20230214;10.2
SAE;20230215;10.0
SAE;20230216;8.9
SAE;20230217;0.0
SAE;20230218;9.2
SAE;20230219;0.1
SAE;20230220;9.8
SAE;20230221;10.1
SAE;20230222;6.6
SAE;20230223;3.0
SAE;20230224;2.6
SAE;20230225;0.0
SAE;20230226;0.0
SAE;20230227;4.4
SAE;20230228;9.2
SAE;20230301;9.2
SAE;20230302;9.0
SAE;20230303;10.9
SAE;20230304;11.1
SAE;20230305;10.7
SAE;20230306;3.9
SAE;20230307;8.2
SAE;20230308;0.0
SAE;20230309;0.2
SAE;20230310;0.8
SAE;20230311;0.0
SAE;20230312;0.0
SAE;20230313;7.1
SAE;20230314;0.4
SAE;20230315;6.7
SAE;20230316;9.8
SAE;20230317;8.4
SAE;20230318;7.9
SAE;20230319;3.5
SAE;20230320;8.2
SAE;20230321;5.1
SAE;20230322;11.4
SAE;20230323;0.6
SAE;20230324;0.0
SAE;20230325;0.0
SAE;20230326;0.1
SAE;20230327;0.0
SAE;20230328;9.5
SAE;20230329;0.0
SAE;20230330;0.1
SAE;20230331;0.2
SAE;20230401;0.0
SAE;20230402;1.8
SAE;20230403;8.2
SAE;20230404;11.3
SAE;20230405;8.6
