 

stn;time;rka150d0
SAE;20230101;0.0
SAE;20230102;0.0
SAE;20230103;5.7
SAE;20230104;2.1
SAE;20230105;12.8
SAE;20230106;0.0
SAE;20230107;0.0
SAE;20230108;2.2
SAE;20230109;47.2
SAE;20230110;19.4
SAE;20230111;26.6
SAE;20230112;0.5
SAE;20230113;38.3
SAE;20230114;3.4
SAE;20230115;20.6
SAE;20230116;9.7
SAE;20230117;1.1
SAE;20230118;3.3
SAE;20230119;0.0
SAE;20230120;0.2
SAE;20230121;0.0
SAE;20230122;0.0
SAE;20230123;0.0
SAE;20230124;0.0
SAE;20230125;0.0
SAE;20230126;0.0
SAE;20230127;0.0
SAE;20230128;0.0
SAE;20230129;0.0
SAE;20230130;8.4
SAE;20230131;0.8
SAE;20230201;6.4
SAE;20230202;10.9
SAE;20230203;9.0
SAE;20230204;28.8
SAE;20230205;10.9
SAE;20230206;0.1
SAE;20230207;0.9
SAE;20230208;0.0
SAE;20230209;0.0
SAE;20230210;0.0
SAE;20230211;0.0
SAE;20230212;0.0
SAE;20230213;0.0
SAE;20230214;0.0
SAE;20230215;0.0
SAE;20230216;0.0
SAE;20230217;3.3
SAE;20230218;0.0
SAE;20230219;0.8
SAE;20230220;0.0
SAE;20230221;0.0
SAE;20230222;0.2
SAE;20230223;8.6
SAE;20230224;28.6
SAE;20230225;22.4
SAE;20230226;1.3
SAE;20230227;0.0
SAE;20230228;0.0
SAE;20230301;0.0
SAE;20230302;0.0
SAE;20230303;0.0
SAE;20230304;0.0
SAE;20230305;0.0
SAE;20230306;0.0
SAE;20230307;0.0
SAE;20230308;20.3
SAE;20230309;44.8
SAE;20230310;71.0
SAE;20230311;21.8
SAE;20230312;24.8
SAE;20230313;8.9
SAE;20230314;56.8
SAE;20230315;6.2
SAE;20230316;0.0
SAE;20230317;0.0
SAE;20230318;0.0
SAE;20230319;10.0
SAE;20230320;1.8
SAE;20230321;0.0
SAE;20230322;0.0
SAE;20230323;0.2
SAE;20230324;23.2
SAE;20230325;36.6
SAE;20230326;25.1
SAE;20230327;39.7
SAE;20230328;1.4
SAE;20230329;6.4
SAE;20230330;23.9
SAE;20230331;29.9
SAE;20230401;30.5
SAE;20230402;3.1
SAE;20230403;0.5
SAE;20230404;0.0
SAE;20230405;0.0
SAE;20230406;0.5
SAE;20230407;2.0
SAE;20230408;2.3
SAE;20230409;0.0
SAE;20230410;0.0
SAE;20230411;36.1
SAE;20230412;40.4
SAE;20230413;18.2
SAE;20230414;14.4
SAE;20230415;11.1
SAE;20230416;30.5
SAE;20230417;0.1
SAE;20230418;0.0
SAE;20230419;0.5
SAE;20230420;20.8
SAE;20230421;1.4
SAE;20230422;0.6
SAE;20230423;19.0
SAE;20230424;39.9
SAE;20230425;29.4
SAE;20230426;1.5
SAE;20230427;1.2
SAE;20230428;68.1
SAE;20230429;7.9
SAE;20230430;0.6
SAE;20230501;16.7
SAE;20230502;4.1
SAE;20230503;0.0
SAE;20230504;0.0
SAE;20230505;8.3
SAE;20230506;2.7
SAE;20230507;26.8
SAE;20230508;10.2
SAE;20230509;35.3
SAE;20230510;58.4
SAE;20230511;9.2
SAE;20230512;1.0
SAE;20230513;5.3
SAE;20230514;4.6
SAE;20230515;9.6
SAE;20230516;25.1
SAE;20230517;1.2
SAE;20230518;0.0
SAE;20230519;0.0
SAE;20230520;0.0
SAE;20230521;0.0
SAE;20230522;6.4
SAE;20230523;17.1
SAE;20230524;1.4
SAE;20230525;0.0
SAE;20230526;0.0
SAE;20230527;0.0
SAE;20230528;0.5
SAE;20230529;0.0
SAE;20230530;0.0
SAE;20230531;0.0
SAE;20230601;0.6
SAE;20230602;0.0
SAE;20230603;0.0
SAE;20230604;0.0
SAE;20230605;0.1
SAE;20230606;0.0
SAE;20230607;0.0
SAE;20230608;2.8
SAE;20230609;0.0
SAE;20230610;0.0
SAE;20230611;3.2
SAE;20230612;0.0
SAE;20230613;0.0
SAE;20230614;0.0
SAE;20230615;0.1
SAE;20230616;2.0
SAE;20230617;0.0
SAE;20230618;5.6
SAE;20230619;14.2
SAE;20230620;1.7
SAE;20230621;0.0
SAE;20230622;13.5
SAE;20230623;37.2
SAE;20230624;0.0
SAE;20230625;0.0
SAE;20230626;0.0
SAE;20230627;0.1
SAE;20230628;0.0
SAE;20230629;9.7
SAE;20230630;32.9
SAE;20230701;18.5
SAE;20230702;33.8
SAE;20230703;0.0
SAE;20230704;4.5
SAE;20230705;20.2
SAE;20230706;2.4
SAE;20230707;0.0
SAE;20230708;0.0
SAE;20230709;0.0
SAE;20230710;0.0
SAE;20230711;3.4
SAE;20230712;39.0
SAE;20230713;5.0
SAE;20230714;0.0
SAE;20230715;0.0
SAE;20230716;2.4
SAE;20230717;9.1
SAE;20230718;4.5
SAE;20230719;3.7
SAE;20230720;0.4
SAE;20230721;16.7
SAE;20230722;0.5
SAE;20230723;0.0
SAE;20230724;22.0
SAE;20230725;49.1
SAE;20230726;19.7
SAE;20230727;0.0
SAE;20230728;5.1
SAE;20230729;56.9
SAE;20230730;35.5
SAE;20230731;0.1
SAE;20230801;31.9
SAE;20230802;15.8
SAE;20230803;8.7
SAE;20230804;23.8
SAE;20230805;46.9
SAE;20230806;46.0
SAE;20230807;21.6
SAE;20230808;0.0
SAE;20230809;1.0
SAE;20230810;0.0
SAE;20230811;0.0
SAE;20230812;3.3
SAE;20230813;31.7
SAE;20230814;1.2
SAE;20230815;0.9
SAE;20230816;0.0
SAE;20230817;0.1
SAE;20230818;0.0
SAE;20230819;0.0
SAE;20230820;0.0
SAE;20230821;0.0
SAE;20230822;0.0
SAE;20230823;0.0
SAE;20230824;19.0
SAE;20230825;10.0
SAE;20230826;12.8
SAE;20230827;52.4
SAE;20230828;45.1
SAE;20230829;9.3
SAE;20230830;1.1
SAE;20230831;0.5
SAE;20230901;1.1
SAE;20230902;0.0
SAE;20230903;0.0
SAE;20230904;0.0
SAE;20230905;0.0
SAE;20230906;0.0
SAE;20230907;0.0
SAE;20230908;0.1
SAE;20230909;0.0
SAE;20230910;0.0
SAE;20230911;0.0
SAE;20230912;7.1
SAE;20230913;14.6
SAE;20230914;5.5
SAE;20230915;0.0
SAE;20230916;0.0
SAE;20230917;0.0
SAE;20230918;18.8
SAE;20230919;8.8
SAE;20230920;0.0
SAE;20230921;7.6
SAE;20230922;71.0
SAE;20230923;6.8
SAE;20230924;0.0
SAE;20230925;0.0
SAE;20230926;0.0
SAE;20230927;0.0
SAE;20230928;0.0
SAE;20230929;0.5
SAE;20230930;0.8
SAE;20231001;0.0
SAE;20231002;0.0
SAE;20231003;13.1
SAE;20231004;0.0
SAE;20231005;0.0
SAE;20231006;0.0
SAE;20231007;0.0
SAE;20231008;0.0
SAE;20231009;0.0
SAE;20231010;0.0
SAE;20231011;0.0
SAE;20231012;0.0
SAE;20231013;0.0
SAE;20231014;31.8
SAE;20231015;5.3
SAE;20231016;0.0
SAE;20231017;0.0
SAE;20231018;0.0
SAE;20231019;0.3
SAE;20231020;24.0
SAE;20231021;17.4
SAE;20231022;0.0
SAE;20231023;0.0
SAE;20231024;9.5
SAE;20231025;21.9
SAE;20231026;7.2
SAE;20231027;30.1
SAE;20231028;0.0
SAE;20231029;0.0
SAE;20231030;33.8
SAE;20231031;32.2
SAE;20231101;0.1
SAE;20231102;24.7
SAE;20231103;18.0
SAE;20231104;13.4
SAE;20231105;15.2
SAE;20231106;4.3
SAE;20231107;14.8
SAE;20231108;0.0
SAE;20231109;0.3
SAE;20231110;12.8
SAE;20231111;39.5
SAE;20231112;68.4
SAE;20231113;17.6
SAE;20231114;96.4
SAE;20231115;40.3
SAE;20231116;24.7
SAE;20231117;83.9
SAE;20231118;18.9
SAE;20231119;43.4
SAE;20231120;0.0
SAE;20231121;12.4
SAE;20231122;2.9
SAE;20231123;0.0
SAE;20231124;40.4
SAE;20231125;40.5
SAE;20231126;9.9
SAE;20231127;17.6
SAE;20231128;64.2
SAE;20231129;0.9
SAE;20231130;40.6
SAE;20231201;23.7
SAE;20231202;17.7
SAE;20231203;0.0
SAE;20231204;2.1
SAE;20231205;9.5
SAE;20231206;11.8
SAE;20231207;0.1
SAE;20231208;24.3
SAE;20231209;44.1
SAE;20231210;29.2
SAE;20231211;49.1
SAE;20231212;56.1
SAE;20231213;29.7
SAE;20231214;55.8
SAE;20231215;1.8
SAE;20231216;0.0
SAE;20231217;0.0
SAE;20231218;0.0
SAE;20231219;0.0
SAE;20231220;23.2
SAE;20231221;60.5
SAE;20231222;-
SAE;20231223;-
SAE;20231224;9.7
SAE;20231225;0.0
SAE;20231226;0.0
SAE;20231227;0.0
SAE;20231228;0.0
SAE;20231229;3.2
SAE;20231230;2.4
SAE;20231231;9.9
